name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,,,,Санкт-Петербург,2022-12-15T11:25:13+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Брянск,2022-12-15T08:51:31+0300
Дизайнер,,,,Актау,2022-12-15T08:12:24+0300
Дизайнер,,,,Астана,2022-12-15T07:21:06+0300
Data engineer (Python Hadoop Spark),,,,Москва,2022-12-15T08:42:19+0300
Оператор станка с ЧПУ,80000.0,,RUR,Краснодар,2022-12-15T09:58:07+0300
Back-end Developer (Python/GO),,,,Москва,2022-12-15T10:25:57+0300
Системный аналитик [IoT Hub],,,,Санкт-Петербург,2022-12-15T10:16:32+0300
Фрезеровщик,,,,Екатеринбург,2022-12-15T09:36:56+0300
Оператор станков с ЧПУ,,,,Барнаул,2022-12-15T11:24:00+0300
Фрезеровщик,60000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,60000.0,,RUR,Петропавловск-Камчатский,2022-12-15T03:54:51+0300
Программист-математик,90000.0,,RUR,Раменское,2022-12-15T11:16:09+0300
Системный аналитик (удаленно),,,,Казань,2022-12-15T09:12:55+0300
Системный администратор,,,,Нижний Новгород,2022-12-15T09:45:45+0300
Слесарь-ремонтник 5-6 разряд,50000.0,,RUR,Новокузнецк,2022-12-15T11:30:23+0300
Специалист 1 разряда отдела информационных технологий,15000.0,30000.0,RUR,Волгоград,2022-12-15T10:20:42+0300
Наладчик оборудования,62000.0,,RUR,Дедовск,2022-12-15T09:39:55+0300
Product Manager (Data Science),,,,Москва,2022-12-15T11:05:20+0300
Full Stack PHP Developer,120000.0,,RUR,Калининград,2022-12-15T05:48:38+0300
Сервисный инженер (Саров),,,,Саров,2022-12-15T09:37:38+0300
Writer ADME,,,,Алматы,2022-12-15T10:48:39+0300
Тестировщик ПО,,,,Санкт-Петербург,2022-12-15T11:59:45+0300
Программист,70000.0,,RUR,Пенза,2022-12-15T07:51:20+0300
Токарь,,,,Великие Луки,2022-12-15T08:52:56+0300
WEB разработчик,115000.0,,RUR,Москва,2022-12-15T09:17:09+0300
Проектный менеджер 1С,,,,Южно-Сахалинск,2022-12-15T10:00:06+0300
Middle frontend developer,,,,Санкт-Петербург,2022-12-15T11:52:55+0300
Инженер-программист микроконтроллеров,50000.0,,RUR,Санкт-Петербург,2022-12-15T09:25:33+0300
Начальник гаража,9932.0,,RUR,Яя,2022-12-15T10:44:38+0300
Начальник отдела моделирования и прогнозной аналитики (Риски),,,,Москва,2022-12-15T10:55:08+0300
Системный администратор,70000.0,70000.0,RUR,Краснодар,2022-12-15T09:48:22+0300
"CPO (Директор по продукту, уровень C-level)",300000.0,,RUR,Москва,2022-12-15T08:09:25+0300
Инженер-программист,70000.0,,RUR,Пермь,2022-12-15T08:57:38+0300
Специалист первой линии технической поддержки,,,,Ижевск,2022-12-15T07:37:28+0300
Ведущий инженер проекта (конструктор-электрика),,,,Санкт-Петербург,2022-12-15T02:54:13+0300
Менеджер по сопровождению проектов,80000.0,,RUR,Челябинск,2022-12-15T11:15:19+0300
Архитектор Data Platform,,,,Москва,2022-12-15T09:46:04+0300
Ведущий программист .NET С# Backend / Senior Developer .NET С# Backend,,,,Москва,2022-12-15T09:10:34+0300
Front-end developer на Smart TV,,,,Санкт-Петербург,2022-12-15T11:41:48+0300
Специалист по контенту,,,,Тюмень,2022-12-15T10:29:46+0300
Системотехник,60000.0,,RUR,Кемерово,2022-12-15T11:56:12+0300
Продакт-менеджер,100000.0,,RUR,Москва,2022-12-15T11:34:16+0300
Наладчик КИПиА,50000.0,,RUR,Кострома,2022-12-15T11:58:23+0300
Наладчик производственного оборудования,,,,Раменское,2022-12-15T09:17:15+0300
Технический специалист,,,,Владивосток,2022-12-15T11:50:17+0300
Android-разработчик,,,,Москва,2022-12-15T07:57:34+0300
Инженер-механик,,60000.0,RUR,Воронеж,2022-12-15T07:04:16+0300
Stream Product Owner / Лидер Стрима,,,,Москва,2022-12-15T10:19:26+0300
Системный администратор,60000.0,,RUR,Тюмень,2022-12-15T09:10:07+0300
Токарь,47000.0,,RUR,Новокузнецк,2022-12-15T05:58:57+0300
Ведущий дизайнер,100000.0,,RUR,Санкт-Петербург,2022-12-15T10:39:54+0300
Механик по автотранспорту (Иркутская область),140000.0,140000.0,RUR,Иркутск,2022-12-15T05:31:15+0300
Специалист Atlassian,1000.0,3000.0,USD,Ташкент,2022-12-15T09:47:03+0300
